Installed Packages
alsa-plugins-pulseaudio.x86_64                    1.2.1-1.fc30                          @updates                                 
alsa-ucm.noarch                                   1.2.1.2-3.fc30                        @updates                                 
alsa-utils.x86_64                                 1.2.1-3.fc30                          @updates                                 
alternatives.x86_64                               1.11-4.fc30                           @anaconda                                
anaconda.x86_64                                   30.25.6-4.fc30                        @updates                                 
anaconda-core.x86_64                              30.25.6-4.fc30                        @updates                                 
anaconda-gui.x86_64                               30.25.6-4.fc30                        @updates                                 
anaconda-install-env-deps.x86_64                  30.25.6-4.fc30                        @updates                                 
anaconda-live.x86_64                              30.25.6-4.fc30                        @updates                                 
anaconda-tui.x86_64                               30.25.6-4.fc30                        @updates                                 
anaconda-user-help.noarch                         26.1-9.fc30                           @anaconda                                
anaconda-widgets.x86_64                           30.25.6-4.fc30                        @updates                                 
annobin.x86_64                                    8.71-4.fc30                           @updates                                 
apache-commons-cli.noarch                         1.4-4.module_f30+8611+513ae82a        @updates-modular                         
apache-commons-lang.noarch                        2.6-24.fc30                           @fedora                                  
apache-commons-logging.noarch                     1.2-13.module_f30+8611+513ae82a       @updates-modular                         
appstream-data.noarch                             30-11.fc30                            @updates                                 
apr.x86_64                                        1.6.5-3.fc30                          @anaconda                                
apr-util.x86_64                                   1.6.1-10.fc30                         @anaconda                                
apr-util-bdb.x86_64                               1.6.1-10.fc30                         @koji-override-0                         
apr-util-openssl.x86_64                           1.6.1-10.fc30                         @koji-override-0                         
argyllcms.x86_64                                  1.9.2-7.fc30                          @anaconda                                
at.x86_64                                         3.1.23-2.fc30                         @anaconda                                
at-spi2-atk.x86_64                                2.32.0-1.fc30                         @anaconda                                
at-spi2-core.x86_64                               2.32.1-2.fc30                         @anaconda                                
atk.i686                                          2.32.0-1.fc30                         @fedora                                  
atk.x86_64                                        2.32.0-1.fc30                         @anaconda                                
atkmm.x86_64                                      2.24.3-2.fc30                         @anaconda                                
atmel-firmware.noarch                             1.3-20.fc30                           @anaconda                                
attr.x86_64                                       2.4.48-5.fc30                         @anaconda                                
audit.x86_64                                      3.0-0.15.20191104git1c2f876.fc30      @updates                                 
audit-libs.x86_64                                 3.0-0.15.20191104git1c2f876.fc30      @updates                                 
augeas-libs.x86_64                                1.12.0-1.fc30                         @updates                                 
authselect.x86_64                                 1.1-3.fc30                            @updates                                 
authselect-compat.x86_64                          1.1-3.fc30                            @updates                                 
authselect-libs.x86_64                            1.1-3.fc30                            @updates                                 
autocorr-en.noarch                                1:6.2.8.2-2.fc30                      @updates                                 
avahi.x86_64                                      0.7-18.fc30                           @anaconda                                
avahi-glib.x86_64                                 0.7-18.fc30                           @anaconda                                
avahi-libs.i686                                   0.7-18.fc30                           @fedora                                  
avahi-libs.x86_64                                 0.7-18.fc30                           @anaconda                                
azureus.noarch                                    5.7.6.0-6.fc30                        @fedora                                  
b43-fwcutter.x86_64                               019-15.fc30                           @anaconda                                
b43-openfwwf.noarch                               5.2-21.fc30                           @anaconda                                
babl.x86_64                                       0.1.74-1.fc30                         @updates                                 
baobab.x86_64                                     3.32.0-1.fc30                         @anaconda                                
basesystem.noarch                                 11-7.fc30                             @anaconda                                
bash.x86_64                                       5.0.11-1.fc30                         @updates                                 
bash-completion.noarch                            1:2.8-6.fc30                          @anaconda                                
bc.x86_64                                         1.07.1-8.fc30                         @anaconda                                
bcache-tools.x86_64                               1.0.8-15.fc30                         @anaconda                                
bind-export-libs.x86_64                           32:9.11.14-2.fc30                     @updates                                 
bind-libs.x86_64                                  32:9.11.14-2.fc30                     @updates                                 
bind-libs-lite.x86_64                             32:9.11.14-2.fc30                     @updates                                 
bind-license.noarch                               32:9.11.14-2.fc30                     @updates                                 
bind-utils.x86_64                                 32:9.11.14-2.fc30                     @updates                                 
binutils.x86_64                                   2.31.1-37.fc30                        @updates                                 
blivet-data.noarch                                1:3.1.4-1.fc30                        @updates                                 
blivet-gui-runtime.noarch                         2.1.12-1.fc30                         @updates                                 
bluez.x86_64                                      5.52-1.fc30                           @updates                                 
bluez-cups.x86_64                                 5.52-1.fc30                           @updates                                 
bluez-libs.x86_64                                 5.52-1.fc30                           @updates                                 
bluez-obexd.x86_64                                5.52-1.fc30                           @updates                                 
bolt.x86_64                                       0.8-1.fc30                            @updates                                 
boost.x86_64                                      1.69.0-9.fc30                         @updates                                 
boost-atomic.x86_64                               1.69.0-9.fc30                         @updates                                 
boost-chrono.x86_64                               1.69.0-9.fc30                         @updates                                 
boost-container.x86_64                            1.69.0-9.fc30                         @updates                                 
boost-context.x86_64                              1.69.0-9.fc30                         @updates                                 
boost-contract.x86_64                             1.69.0-9.fc30                         @updates                                 
boost-coroutine.x86_64                            1.69.0-9.fc30                         @updates                                 
boost-date-time.x86_64                            1.69.0-9.fc30                         @updates                                 
boost-devel.x86_64                                1.69.0-9.fc30                         @updates                                 
boost-fiber.x86_64                                1.69.0-9.fc30                         @updates                                 
boost-filesystem.x86_64                           1.69.0-9.fc30                         @updates                                 
boost-graph.x86_64                                1.69.0-9.fc30                         @updates                                 
boost-iostreams.x86_64                            1.69.0-9.fc30                         @updates                                 
boost-locale.x86_64                               1.69.0-9.fc30                         @updates                                 
boost-log.x86_64                                  1.69.0-9.fc30                         @updates                                 
boost-math.x86_64                                 1.69.0-9.fc30                         @updates                                 
boost-program-options.x86_64                      1.69.0-9.fc30                         @updates                                 
boost-random.x86_64                               1.69.0-9.fc30                         @updates                                 
boost-regex.x86_64                                1.69.0-9.fc30                         @updates                                 
boost-serialization.x86_64                        1.69.0-9.fc30                         @updates                                 
boost-stacktrace.x86_64                           1.69.0-9.fc30                         @updates                                 
boost-system.x86_64                               1.69.0-9.fc30                         @updates                                 
boost-test.x86_64                                 1.69.0-9.fc30                         @updates                                 
boost-thread.x86_64                               1.69.0-9.fc30                         @updates                                 
boost-timer.x86_64                                1.69.0-9.fc30                         @updates                                 
boost-type_erasure.x86_64                         1.69.0-9.fc30                         @updates                                 
boost-wave.x86_64                                 1.69.0-9.fc30                         @updates                                 
bouncycastle.noarch                               1.61-1.fc30                           @fedora                                  
brasero-libs.x86_64                               3.12.2-8.fc30                         @anaconda                                
breeze-icon-theme.noarch                          5.68.0-1.fc30                         @updates                                 
bridge-utils.x86_64                               1.6-3.fc30                            @anaconda                                
brlapi.x86_64                                     0.6.7-32.fc30                         @anaconda                                
brltty.x86_64                                     5.6-32.fc30                           @anaconda                                
brotli.i686                                       1.0.7-3.fc30                          @fedora                                  
brotli.x86_64                                     1.0.7-3.fc30                          @anaconda                                
btrfs-progs.x86_64                                5.6-1.fc30                            @updates                                 
bubblewrap.x86_64                                 0.3.3-2.fc30                          @updates                                 
bzip2.x86_64                                      1.0.6-29.fc30                         @anaconda                                
bzip2-devel.x86_64                                1.0.6-29.fc30                         @fedora                                  
bzip2-libs.i686                                   1.0.6-29.fc30                         @fedora                                  
bzip2-libs.x86_64                                 1.0.6-29.fc30                         @anaconda                                
c-ares.x86_64                                     1.15.0-3.fc30                         @anaconda                                
ca-certificates.noarch                            2020.2.40-1.1.fc30                    @updates                                 
cairo.i686                                        1.16.0-6.fc30                         @updates                                 
cairo.x86_64                                      1.16.0-6.fc30                         @updates                                 
